Lychener Str. 23
Chausseestr. 126
Ruschestr. 103
Wittenbergplatz
Breitscheidplatz
Schloßstraße 1a
Invalidenstr. 43
Viktoriastraße 10
Hultschiner Damm 333
Im Winkel 6/8
Amrumer Str. 32
Königin-Luise-Str. 6-8
Ben-Gurion-Straße
Am Flugplatz Gatow 33
Alt-Blankenburg 33
Königsallee 30/32
Bat-Yam-Platz 1
Niederkirchnerstr. 7
Krausnickstraße 23
Wiener Str. 60
Herbert-von-Karajan-Str. 1
Monumentenstr. 9
Glockenturmstr. 1
Parkaue 29
Mehringdamm 34
Wissmannstraße 32
Wilhelminenhofstraße 33
Roscherstraße 7
Olympischer Platz 3
Mariendorfer Damm 222
Greifswalder Straße 81-84
Alt -Köpenick 31
Schlossstraße 48
Kantstr. 12
Behrenstr. 55-57
Stresemannstr. 29
Linienstr. 227
Sony Center
Sonnenallee 225
Karl-Marx-Allee 131
Ackerstraße 169
Grunewaldstr. 55
Bismarckstraße 110
Stendaler Str. 25
Am Borsigturm 2
Bleibtreustr. 12
Kastanienallee 77
Kantstrasse 54
Johannisthaler Chaussee 295
Gutsmuthsstr. 27/28
Wartenberger Str. 174
Schönhauser Allee 36
Möckernstr. 10
Ehrenfelsstr. 2–4
Schloßstr. 48
Onkel-Tom-Strasse 80
Revaler Str. 99
Behaimstraße 22
Borsigdamm
Str. der Pariser Kommune 8
Wiebestrasse 42
Friedrichstrasse 176-179
Knesebeckstraße 100
Köthener Straße 38
Große Seestr. 9-10
Carl-Schurz-Strasse 59
Gotzkowskystr. 22
Erich-Weinert-Str. 27
Bernhard-Lichtenberg-Platz
Westerwaldstr. 13
Konrad-Wolf-Str. 39
Wuhlheide 263
Fidicinstr. 40
Holzmarktstr. 33
Bachstraße S-Bahn Bogen 475
Eichborndamm 215 - 239
Luxemburger Str. 20
Hohenzollerndamm 177
Markgrafenstraße 26
Oberhofer Platz
Lychener Straße 60
Gärtnerstrasse 21
Ystader Str. 10
Karl-August-Platz
Rykestr. 53
Marienburger Straße 42-46
Treskowallee 129
Puschkinallee 15
Potsdamer Platz 4
Möckernstr. 10
Mittenwald Str. 6
Lindower Straße18-19
Müllerstr. 185
Hausvaterweg 39
Johannisberger Str. 15
Hanns-Braun-Strasse
Bergstraße 51
Kastanienallee 49
Auguststr. 43
Friedrichstr.
Skalitzer Str. 135
Alte Schönhauser Straße 44
Am Kupfergraben 5
Sanderstr. 2
Am Wriezener Bahnhof
"Schreinerstrasse, 10247 Berlin"
Zossener Str. 29
Reuterstr. 63
Französische Straße 33
Frankfurter Allee 61-67
Warschauer Str. 39-40
Brunnenstr. 163
Selchower Str. 31
Friedelstr. 8
Revaler Straße 99
Zionskirchstr. 34
Weydingerstr. 20
Graefestr. 12
Gärtnerstr. 12
Eichenstr. 4
Bessemerstrasse 2-14
Heidelberger Platz 1
Simon-Dach-Str. 32
Elsenstraße 115-116
Hans-Rosenthal-Platz
Arkonaplatz
Mannteufelstr. 53
Skalitzer Str. 46A
Bergstr. 2
Bergmannstr.
Alt Stralau
Askanischer Platz
dunckerstr
Mariannenstr. 29
Pappelallee 64
Weserstr. 207
Mehringdamm 62
Stralauer Allee 2b
Grünberger Str. 67
Rummelsburger See
Kollwitzstr. 18
Krossener Str. 24
Lenbachstr. 17
Simon-Dach-Str. 28
Wühlischstraße 43
Lychener Str. 26
Raumerstr 12
Sonntagstr. 1
Linienstr. 113
Malplaquetstr. 16 b
Hobrechtstr. 54
Pannierstr. 54
Schönleinstr. 34
Weisestraße 56
Hochstr.
Stargarder Straße 10
Triftstr. 67
Molkenmarkt 2
Kantstr. 146
Treskowallee 111
Simon-Dach-Straße 15
Fritz-Wildung-Straße 9
Husemannstr. 6
Mehringdamm 61
Rigaerstraße 103
Sonntagstr. 7
stresemannstrasse 15
Caroline-Michaelis-Str. 8
Tucholskystr. 34
Torstr. 65
Warschauer Str.
Beilsteiner Straße 109
Skalitzer Str. 75
Skalitzer Str. 134
Revaler Str 99
Eldenaer Str. 44
Karl-Marx-Allee 36
Haasestraße 13
Sonntagstraße 9
Cora-Berliner-Str. 1
Grünberger Str. 61
Greifenhagener Str. 54
Budapester Str. 43
Weserstr. 9
Lychener Straße 11
Weisestr 8
Viktoria-Luise-Pl.
Modersohnstr. 32
Matternstr. 14
Torstraße 90
Gneisenaustraße 58
Kochhannstr. 14
Sonntagstr. 7
Invalidenstraße 148-153
Helmholtzstr.
Bänschstr. 91
Stralauer Allee 6
Oderstr. 8
Kurfürstenstr. 58
Sredzkistr. 65
Treskowallee 116
Hermannstr. 37
Landsberger Allee 106
Götzstr. 14-18
Stauffenbergstr. 13-14
Leipziger Straße
Antonplatz
Schlesische Str. 32
Karl-Marx-Allee 96
Helmholzplatz
Schumannstrasse 6
Giesebrechtstr. 15
Boxhagener Str. 114
alt-blankenburg 17
Breite Str. 38
Alt-Biesdorf 59
Gabelsbergerstr. 10
Kastanienallee 95
Dircksenstr. 36
Alexanderpl. 1
Lückstr.
Oranienstr.19a
Mehringdamm 63
Friedrichstraße 101
Winsstr. 61
Allee der Kosmonauten 147
Riesaer Straße 102
Raumerstr. 16
An der Rehwiese
Große Querallee 0
Treskowallee 99
Mehringdamm 77
Frohnauer Brücke
Maaßenstr. 12
Motzstr. 5
Reichenberger Str. 103
Bergmannstr. 104
Motzstrasse 19
Reinickendorfer Str. 7
Großbeerenstr. 54
Greifenhagener Str. 17
Monumentenstr.
Ehrenpfortensteig
Bernburger Str. 35
Greifswalder Str. 218
Koppenstr. 8
Waldowstr. 20
Edelhofdamm
Hans-Sachs-Straße 5
Treuenbrietzener Straße 36
Steubenpl.
Gatower Str. 19
Moritzstr. 2
Niederbarnimstr. 23
Kleiststr. 3
Methfesselstraße 41
Sybellstrasse
Köpenicker Strasse 325 - 109
Alt-Stralau 70
Ernst-Reuter-Platz 7
Französische Str. 24
Mareschstr. 1
Stubbenkammerstr
Jüdenstr. 10
Schlesische Str. 16
Schlesische Str. 35a
Schliemannstr. 15
Leonorenstraße 37
Graefestraße
Eichenstraße 4
Reichstrasse 80 B
Gabriel-Max-Str. 3
Schloßstr. 56
Schlüterstr. 60
Müllerstr. 47
Reuterstraße 7
Stralauer Allee 1
Wiener Str. 69
Akazienstr. 2
Heerstr. 39
Eisenacherstrasse 3a
Kommandantenstr. 23
Schliemannstraße 37
Schönblicker Str.
Am Treptower Park
Triglawstr.
Triglawstr.
Hasenheide 69
Waldstr.
Quickborner Str.
Friedrichstr. 50
Charlottenburger Chaussee 15-17
Friedrichstr. 31
Revaler Str. 17
Boxhagenerstraße
Emser Straße 131
Neue Schönhauser Straße 1
Oranienburger Str. 42
Wittenbergplatz
Lychenerstrasse 64
Tauentzienstr. 11
Richard-Sorge-Straße 25a
Weserstr. 42
Friedrichstr. 105b
Platz der Vereinten Nationen
Hobrechtstr. 57
Sonntagstraße
Grunerstraße 20
Märkische Allee 176-178
Ringbahnstrasse
Wilhelmstr. 97
Teufelsseechaussee
Samariterstr. 19-20
Skalitzer Str. 134
An der Urania 12-14
Eichenstraße 4
Admiralstr.
Gertrudstr. 7
Orankestr. 11
Königstraße
Nalepastraße 18-50
Mierendorfstraße
Neue Schönholzer Str.
Hornstr. 23
Neue Krugallee
Lychener Str. 39
Flensburger Straße 7
Rigaer Straße 103
Gethsemanestraße 10-11
Scharnweberstr. 17
Arndtstr. 25
Wittestr. 37
Mehringdamm 67
Hubertusallee
Gneiststr. 10
Pablo-Neruda-Str. 2-4
Holzmarktstraße 11
Möckernstr. 26
Unter den Linden 77
Kurfürstendamm 101
kaeuzchensteig
Rykestraße 54
Kühler Weg 2
Kleiststrasse
Sachsendamm 11
Pfalzburger Str. 83
Wühlischstr. 29
Roelckestr. 73
Dolgenseestrasse
Knesebeckstr. 67
Goltzstr. 7
Zimmermannstr. 22
Hasenheide
Fasanenstr. 9-10
Pappelallee 11
Werbelinstr. 50
Schönhauser Aller 42
Berlin Tegel Airport (TXL)
Südstern 1
Teufelsseechaussee
Fauler See
Kollwitzplatz
Mariannenstr. 26
Petersburger Pl.
Scharnweberstr. 67
Marienburger Straße 10
Osloer Str. 116a
Yorckstr.
Kieler Strasse
Viktoriapark
Kreuzstr. 4
Fuggerstrasse
Blankenburger Pflasterweg 40
Schreinerstraße 43-51
Schnellerstr. 54
Freiheit 15
Zabel-Krüger-Damm
Straße des 17. Juni
Volkspark Friedrichshain
Waldschulallee 45
Schleiermacherstr. 24A
Lilli-Henoch-Str. 20
Niederbarnimstr. 9
Achillesstraße
Margarete-Sommer-Straße
Ludwig-Erhard-Ufer
Stralsunder Str.
Kastanienallee 16
Müggelseedamm
Ritterstr. 12-14
Unter den Linden
Friedrich-Friesen-Allee
Alt-Marzahn 63
Hauptstr. 80 B
Vorarlberger Damm
Wannseebadweg
Straße an der Wuhlheide 263
Lipschitzallee 74
Konrad-Wolf-Straße 85
Hauptstr. 80
Charlottenstr. 63
Teutoburger Platz
Pannierstraße 53
Erholungspark Marzahn
Str. des 17. Juni
Marktplatz 1
Rousseauweg
Heinrich-Böll-Str.
Crellestr 41
Mahlerstr. 5
Krampenburger Weg 17
Weserstr. 23
Torfstrasse 13
Schollenhof 6
Tauentzienstr. 9-12
Park Am Weissensee
Gotlindestr. 46
Schreinerstraße
Weserstr. 28
Werner-Voß-Damm 45
Motzstr. 30
Leipziger Str. 56
Nollendorfstr. 27
Kolberger Platz 5
Lil-Dagover-Gasse 4
Xantener Street 4
Proskauer Straße 18-19
Landsberger Allee 106
Albrechtstraße 58-62
Kleine Eiswerderstr. 1
Prinzessinnenstraße 15
Wilskistraße 70
Möllhausenufer 30
Michael-Brückner-Str. 9
Roedernstr. 16-18
Königstr.
Kurfürstendamm 135
Havemannstr.
Sophie-Charlotten-Str. 97
Gustav-Müller-Platz
Rosa-Luxemburg-Platz
Schloßstr.1
Monumentenstr. 32
Mauerpark
Am Tierpark 125
Charitéplatz 1
Weigandufer 9
Schustehrusstr. 3
Friedrichstr. 112
Regattastraße
Bänschstr. 66-74
Wrangelstrasse 87
Am Nordhafen
Schulstr.
Eichenstr. 4
Thielplatz
Stahlheimer Straße 27
Waldmeisterstr. 10
Waldeyerstr.  7
Wintersteinstr. 24
Irgendwo am Ufer der Spree
Nordufer 28a
Achtrutenberg 16-54
Lloyd-G.-Wells-Str. 35
Orankestr. 41
Prager Platz
Mühlenstr.
Spreewaldpl.
Sredzkistr. 64
Weissenseer Weg 100
Britzer Garten
Straßmannstr. 30
Nostritzstr. 38
Mariendorfer Damm 1
Granitzstr. 35
Alexanderplatz
Kaskelstraße 55
Knaackstrasse
Pilsenerstraße 80
Jülicher Str. 4
Graunstr. 31
Ruppiner Chaussee 99
Schaperstrasse 24
Volkspark Rehberge
Oderstr.
Joachim-Friedrich-Str. 6
"Berlin-Spandauer-Schifffahrtskanal km 7,45"
"Spree-Oder-Wasserstraße km 17,8"
An den Treptowers
Strausberger Platz
Bevernstraße 5
Mommsenstraße 61
Rennbahnstraße 38-45
Buckower Damm 146
Gethsemanestr. 3
Grimmstraße
Hasenheide 49
Potsdamer Str. 2
Strelitzer Str.
Naugarder Str.
Bulgarische Straße
Cauerstr.
Karl-Marx-Allee 34
Straße zum FEZ 6
Stargarder Str. 41
Hardenbergstr. 5
Otto-Suhr-Allee 30
Nalepastr. 26
Mariendorfer Damm 1-3
Gneisenaustrasse 10
Fürstenwalder Damm 838
Am Volkspark 15
Schönhauser Allee 80
Puschkinallee
Amalienstr. 1
Liebenwalder Str. 33
Schönwalder Allee 26
Großbeerenstr. 64
Hasenheide 108
Methfesselstr. 4
Hochstädter Str. 10a
Schivelbeiner Straße 6
Goebelstraße 113
Alt-Köpenick
scheffelstr. 2
Joachim-Gottschalk-Weg 41
Pommersche Str.
Königin-elisabeth-str. 45
Leibnizstr. 68
Kaiser-Friedrich-Str. 54
Puchanstraße
Feldzeugmeisterstr. 1
Lipschitzallee 29
Nordufer 26
Kurfüstendamm 47
Forckenbeckstr. 14
Zionskirchstr. 39
Prinzenstr. 113 - 119
Dämeritzsee
Lindwerder
Seelingstraße 7
Linienstr. 74
Pappelallee
Seestr. 116
Kolonnenstraße 29
Columbiadamm 20
Kleiberweg 3
Wiesenweg 5
Weinbergsweg 13
Treskowallee 211
Lipschitzallee 27-33
Segitzdamm 2
Kufsteiner Straße 68
Scharfe Lanke 109-131
An der Wuhle
Adalbertstraße 96
Sedinsee
Lenbachstr. 1
Am Schafstall
Alt-Britz 43
Juliusturm 104
Beusselstr.
Jüdenstraße 37
Maaßenstr. 4
Straße des 17. Juni
Schröderstraße 5
Forchheimer Str. 22
Im Schwarzen Grund 4
Prenzlauer Berg
Buschallee
Hagenower Ring
Merseburger Str. 7
Platz des 18. März
Alt-Köpenick
Im Spektefeld 26
Regattastr.
Pücklerstrasse 33
Münsterlandplatz
13159 Berlin
Birkbuschstrasse
Lankwitzer Straße 41
Badeweg 3
Weisestr. 17
Hauptstraße 125
Simplonstraße 31-37
Falckensteinstraße 1
Koenigsallee 5
Lessingstraße 85
Am Teufelssee 1
Clayallee 146
Namslaustr. 45
Hermannplatz
Thymianweg 5
Brachfelder Str.
Heerstr. 185
Wildenowstraße
Mühlenstr. 76
Holunderbusch 119
Tegelerweg
Scabellstr. 8
Am Großen Wannsee 56
Telegrafenweg 21
12559 Berlin
Wilkestr. 1
Uferpromenade
Langer Weg
Malplaquetstraße
Dieffenbachstr.
Behmstr.
Müllerstraße 161
Müllerstraße 161
Jungfernheideweg 60
Havelchaussee 1
Mittelstrasse
Hahns Mühle 12
Bänschstr. 54
Planufer
12559 Berlin
Am kleinen Wannsee
Wannsee
Hans-Schomburgk-Promenade
Hauptstr. 15
Kaiserstraße 27-29
Gotenstraße 61
Rummelsburger Landstraße 2-12
Breite strasse 1
Brüsseler Strasse 6
Kladower Damm A
Lenbachstr.10
Reißeckstr. 14
Tiefhornweg
Schildhornweg
Peter-Vischer-Straße 10
Kol. Heideschlößchen 63
Fuggerstr. 37
Ringstraße 26
Imkerweg 26
Habermannsee
Samariterstraße 18
Kreutzigerstr. 28
Haarlemer Str. 45E
Woelckpromenade 25
Kaskelstr. 27
Ruschestr. 45
Sparnecker Weg 100
Alt-Rudow
Sieversufer
Dorfstr. 12
Seeburger Str. 8
Gleimstr. 25
Am Juliusturm 31
Hans-Sachs-Straße 4
Spittastr. 40
Kinzigstr. 9
Kurt-Schumacher-Damm 207
Wendenschloßstr. 350-354
Baumschulenstraße 61
Baumschulenstraße 59
Edisonstr. 63
Spree
Agnes-Kraus-Weg
Salzufer
Kurt-Schumacher-Damm 207
Herthastr.
Koenigsallee
Roedeliusplatz 1
Schlüterstr. 15
Wolfshagener Str. 91 - 93
Karl Marx Straße
Hermannstraße 105
Damerowstr. 40
Chamissoplatz
Teufelsseechaussee 22-24
Lichterfelder Weg 1
Proskauer Str. 33
Leibnizstr. 34
Berliner Str. 46
john foster dulles allee
Albrechtstraße 115
Weverstr. 32 ggü
Rohrdamm
Rohrdamm 80
Stralauer Allee
Weserstr. 55
Engelbecken
Heckerdamm 260
Flottwellstr. 5
Stierstraße 22
Weichselstraße 63
Storkower Straße 160
Cosmarweg
Gleimstr.
Kirchweg 24
Dammweg
Maedewalder Weg 37
Melchiorstr. 19
Gleimstr.
Diedersdorfer Weg 1-3
Westfälische Str. 49
cunostrasse 107
Alt Lichtenrade 109
Niederneuendorfer Allee 61
Platz der Republik
Ebersstr 66
Ludwigkirchplatz
Olympiapark
Masurenallee 8-14
Scabellstt. 7
Jacobsohnstr. 20
Monumentenstr. 18
Maratstr. 100
Eisenacher Str. 6
Waldbühne
Am Müggelsee
Gerichtsstr. 12-13
Martin-Opitz-Strasse 21
Kaiserdamm 80/81
Tunnelstr. 5
Tietzenweg 13
Messedamm 22
Yorckstrasse 88
Paul-Heyse-Str.
Grunerstr. 20
Joachim-Friedrich-Str. 46
Lauberhornweg 26
Frankfurter Allee 91
Fohlenweg 15
Hönowerstr. 30
Waldschulallee 43
Krampenburger Weg 31
Rudeloffweg 7
Buchholzerstr. 62-65
Niederkirchenerstr.
Heerstr. 8
Erlenstr. 7
Richardstraße 10
Alt-Stralau 51
Monumentenstr.15
Niedstraße 8
Elsenstrasse
Platz der Luftbrücke
Yorckstr. 86
Axel-Springer-Str. 65
Fasanenstraße 81
Pröhleweg 7
Nordbahnstrasse 10
Sonnenallee 27
Gottschedstr. 2
Adlergestell 103
Manfred-von-Richthofen-Str. 2
Gladowshoeher Str. 3
Warmbrunner Straße 11
Invalidenstr. 79
Rüdigerstr. 46
Thurgauer Straße 38
Müggelheimer Damm 144
Gutenbergstr. 32
Weserstr. 12
Hämmerlingstraße 80
Rüdersdorfer Straße 70
Lützowufer 15
Salzufer 20
Reuterstrasse 39
Lindenstr. 85
Wannseebadweg
Bismarckstr. 110
Jeanette-Wolff-Str. 34
Trautenaustr. 23/24
Herzbergstrasse 100
Halenseestr. 32-36
Platz der Republik 1
Schillerstraße/Heinrich-Böll-Straße
Buckower Damm 50
Hönower Weg 2
Wasgenstr. 75
Dorfstr. 5
Matthäikirchplatz
Wenckebachstr. 5
Hertzstr. 73
Fischerstr. 15
Alt-Buch
Uferstrasse 8-11
Voltastr. 5
Falkenseer Chaussee
Bismarckstr. 4
Waldschulallee 43
Wilhelmplatz 2
Neumannstr. 13
Edelweissstrasse
Swinemünder Str.
Raumerstraße 3
Storkower Straße 207
An der Stammbahn
Blissestraße 44
Moritzplatz
Pascalstr. 10
Sprengelstr. 15
Dolziger Str. 24
Neumagener strasse 27
Bäkestrasse
Stubenrauchstraße 11
Regierungsviertel
Prühßstraße 90
An der Schillingbrücke 4
Markgrafenstraße
Grunewaldsee
Koenigsallee
Prinzenstr.
Neue Promenade
Lassaner Straße 19
Wisbyer Strasse 4
Reinickendorfer Str.  111
Werbellinstraße 50
Neue Schönhauser Str 39
Puschkinallee
Richardstr. 39
Pablo-Neruda-Str. 5
Apostel-Paulus-Straße
Chaussestrasse 11
Wiclefstr. 17
Friedelstr. 28
Krumme Str. 9
Martin-Luther-Str. 77
Freienwalder Str. 20
Nazarethkirchstrasse 50
Storkower Str.209
Berliner Straße 81-103
Weichselstr. 44
Gustav-Adolf-Strasse
Smetanastrasse
Gartenfelder Str. 28
Columbiadamm 128
Am Juliusturm
Washingtonplatz
Chamissoplatz 4
Münstersche Str. 6
Merlitzstraße 9
"Spree-Oder-Wasserstraße km 6,1"
Am Grabensprung
Helene-Weigel-Platz
Kopennhagener Strasse 69
Schluchseestr. 68
Tegeler Weg
Bolchener Straße 5
Schillerstraße
Retzbacher Weg 78
Olympischer Platz 1
Brixplatz 4
Hermsdorfer Damm
Wilskistraße 70
Alt-Lübars
Schildower Str. 4
Fennstr.
Fehrbelliner Straße 96
Arcostr. 11/19
Köpenicker Str. 11
Storkower Str. 105-107
Spandauer Damm 22-24
Weichselstr. 7
Köpenicker Str. 59-73
Johannisthaler Chaussee
Sieversufer 22
Esperantoplatz
Andreasstrasse 66
Pariser Strasse 38
Puschkinallee 16a
Adam-Kuckhoff-Platz
Weißer See
Ernst-Reuter-Platz
Landsberger Allee 52
Stresowstr. 2
Winterfeldtplatz
Leipnitzerstr 57
Konrad-Wolf-Straße
Gropiusstadt
Ostpreußendamm 7-17
Straße des 17. Juni 135
Veitstrasse
Fasanenstr. 9-10
Falkenplatz
Haeselerstr. 28
Grolmanstraße 52
Wissmannstrasse
Gneisenaustr.
Kirchstr. 6
Gerichtstr.
Torstr. 99
"Schöneberg, Berlin, Deutschland"
Ritterstr. 9-11
Hatzfeldtallee 29
Bergheimer Platz 1
Wollankstraße 31b
Gneisenaustraße 64
Hildegardstraße 3a
Goltzstr. 29
Lankwitzer Str. 26
Oderstraße 182
Düsseldorfer Straße 68
Tempelhofer Damm 227
Am Ried 11
Glockenturmstr. 1
Uferpromenade
Am Borsigturm 2
An der Stammbahn
Welfenallee 6
Romain-Rolland-Str. 54
freiheit fünfzehn
Werderstrasse 50
Böhmischer Platz
Seelenbinder Str. 112-124
Tempelhofer Ufer 36
Am Olympiastadion
Nixenstraße 3
Nonnedammallee 117
Sömmeringstraße
Richard-Wagner-Pl.
Hubertus Str. 6
Innsbrucker Platz
Karl-Marx-Allee 103a
Monumentenstr. 35
Hanns-Braun-Str.
Liegnitzerstraße 35
Ankogelweg 95
Prinzenallee 78/79
Feldzeugmeisterstr.1
Eitelstrasse
Bernhardstrasse
Karl-Liebknecht-Str. 8
Neuköllner Schiffahrtskanal
Oranienburger Str. 28-31
Arnswalder Platz
Kolonnenstr.
Siegfried-Aufhäuser-Platz
Moritzstrasse 12
Willy-Brandt-str. 1
Buschkrugallee 131
Leonorenstraße 17
Tauentzienstr. 21-24
Revaler Str. 99
Brunnenstr. 177
Schütte-Lanz-Straße
Scharnweberstr. 114
Benekendorffstraße 9
Sonnenallee
Schröderstr.
Ella-Kay-Str. 36
Steglitzer Damm 40
wiebe str
Soorstr 14
Lehderstr. 60
Lychener Str. 13
Hasenheide 82
Heidereuterstr. 30
Borstellstr. 42
Fischerhüttenstraße
Goo Steelers
Gudrunstr. 20
Baseler Str. 69
Rheinstr. 44
Krumme Str. 41
An der Wuhlheide 256
An der Wuhlheide 256
An der Wuhlheide 256
An der Wuhlheide 256
An der Wuhlheide 256
Krumme Str. 10
Messedamm 22
Friedirich-Franz-Str. 12
Boxhagener Str. 64
Mahlsdorfer Straße 3
Wuhleteich
Kottbusser Str.
Lichtensteinallee 1
Alt-Lübars 27
Freiheit 12
Hauptstr. 44
Volkspark Friedrichshain
Eiswerderstr 22
Eiswerderstr. 22
Waldsee
Kurfürstendamm 64
Kiehnwerderallee 1-3
Voigtstr. 7/8
Karl-Marx-Pl.
Hallandstr. 28
Waldstraße 44
Nestorstr. 6-7
Grüntaler Str. 9
Mahlerstraße 30
Blumenthalstrasse
Marheinekeplatz
Golfweg 22
Am Bosigturm 2
kottbusser Tor
Tschaikowskistr. 1
Schönhauser Alle 90
Hindenburgdamm 57
Donaustraße 119
Edisonstr. 29
Boppstr.
Masurenstrasse
Braunschweiger Str. 51
Graefestr. 11
Landsberger Allee
Sieversufer
Flakenseer Chaussee
Märkische Allee 176-178
Innstr.
Hermannstr.
Kiefholzstr.
Kiefholzstraße 221-228
Neuköllnische Allee
Radelandstr. 1
Geissenweide
Niemetzstr. 24
Hallesche-Tor-Brücke
Siegfriedstr. 201 A
Gartenstr. 23
Wissmannstr. 27
Kaiserin-Augusta-Str. 42
Walther-Schreiber-Platz
Brüsseler Str. 14-15
Stromstraße 11
Paul-Junius-Straße
Ohlauer Str.
Dorothea-Schlegel-Platz
Lehderstraße 16- 19
Gößweinsteiner Gang 53
Hüttenweg 41
Alt-Stralau
Großer Müggelsee
Mecklenburgische Str.
Lindauer Allee
Lindauer Allee
Hardenbergplatz
Torstr. 68
Feldberger Ring 5
Boxhagener Str. 104
Pionierstr. 82 - 156
kaskelstraße
Friedrichstr.
Konzerplatz
Columbiadamm 9-11
Kleiststraße 25
Gutmuthstraße 20
Zum Kappgraben
Alt-Karow 13-14
Markt
Wollenberger Str. 10/12
Weisestraße 34
Veitstr. 28
Allee der Kosmonauten 151 B
Soorstr. 85
Eichener Chaussee
Tegeler Weg
Kaiser-Wilhelm-Platz
Königstr. 11
Fasanenplatz
Budapester Str. 2
Gritznerstr. 57
Pichelsdorfer Str. 79
Biesdorfer Promenade
Straße des 17 Juni
Charlottenburger Ufer
Hallesches Ufer
Waldstraße 103
Hüfner Weg 4
Emrichstraße 31
Bornholmer Str.
Konrad-Wolf-Str. 103
Friedenstr.
Fritz-Wildung-Straße
Hansa-Ufer
AVS
Branitzer Platz
Hellersdorfer Straße 233
Halker Zeile 160
Senefelderplatz
Onkel-Tom-Straße 40
Am Kleinen Wannsee 5
langhansstr. 86
Kniprodestraße
Ernst-Reuter-Platz 7
Eichholzbahn 114
Schönfliesser Str. 13-19
Mehringdamm 81
Lückstrasse 11
Pappelweg 6
Kurfürstendamm 69
Alexanderstr. 7
Rohrdamm 80
Schlüterstrasse 63
Hansastr.164a
Schönfließer Str.
Königshorster Straße 13
Königshorster Str.
Stechlinstraße
Cherusker-/Ecke Rossbachstr.
Alsenstr. 17
Augsburger Str. 44
Frankfurter Allee
Johannaplatz
Stollberger Str. 31
Elsflether Weg 30
